city,name,rating,review_count,categories
Denver,BURLY Brewing Company,4.0,102,Beer Bar
Denver,BURLY Brewing Company,4.0,102,Brewpubs
Denver,Westminster Brewing,4.0,74,Breweries
Denver,Yak and Yeti Restaurant and Brewpub,4.0,1077,Indian
Denver,Yak and Yeti Restaurant and Brewpub,4.0,1077,Himalayan/Nepalese
Denver,Yak and Yeti Restaurant and Brewpub,4.0,1077,Breweries
Denver,Downhill Brewing,4.0,169,Breweries
Denver,Jagged Mountain Craft Brewery,4.0,334,Breweries
Denver,Southern Sun Pub & Brewery,4.0,500,Pubs
Denver,Southern Sun Pub & Brewery,4.0,500,Burgers
Denver,Southern Sun Pub & Brewery,4.0,500,Breweries
Denver,Odd13 Brewing,4.0,164,Breweries
Denver,Colorado Brewery Bus,4.0,45,Breweries
Denver,Colorado Brewery Bus,4.0,45,Tours
Denver,Sanitas Brewing Company,4.0,160,Breweries
Denver,Sanitas Brewing Company,4.0,160,Venues & Event Spaces
Denver,Golden City Brewery,4.0,237,Breweries
Denver,Strange Craft Beer Company,4.0,207,Breweries
Denver,Ursula Brewery,4.0,111,Breweries
Denver,TRVE Brewing,4.0,270,Breweries
Denver,TRVE Brewing,4.0,270,Bars
Denver,Fiction Beer Company,4.0,184,Breweries
Denver,Chain Reaction Brewing Company,4.0,90,Breweries
Denver,Novel Strand Brewing Company,4.0,45,Breweries
Denver,Two22 Brew,4.0,133,Breweries
Denver,Renegade Brewing Company,4.0,290,Breweries
Denver,Comrade Brewing,4.0,221,Breweries
Denver,Blue Moon Brewing Company,4.0,664,Brewpubs
Denver,Cerebral Brewing,4.0,274,Breweries
Denver,Cerebral Brewing,4.0,274,Beer Bar
Denver,Cerebral Brewing,4.0,274,Pubs
Denver,Yak and Yeti,4.0,213,Indian
Denver,Yak and Yeti,4.0,213,Himalayan/Nepalese
Denver,Yak and Yeti,4.0,213,Brewpubs
Denver,14er Brewing,4.0,72,Breweries
Denver,Colorado Plus Brew Pub,4.0,377,Breweries
Denver,Colorado Plus Brew Pub,4.0,377,Pubs
Denver,Colorado Plus Brew Pub,4.0,377,American (New)
