categories,name,rating,review_count,location,coordinates,city
"['Japanese', 'Bars']",Tabata,5.0,6,"{'address1': '1435 2nd Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10021', 'country': 'US', 'state': 'NY', 'display_address': ['1435 2nd Ave', 'New York, NY 10021']}","{'latitude': 40.770684, 'longitude': -73.957302}",NewYork
"['Sports Bars', 'Beer Bar', 'Cocktail Bars']",The Long Pour,5.0,12,"{'address1': '155 2nd Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['155 2nd Ave', 'New York, NY 10003']}","{'latitude': 40.72963, 'longitude': -73.98717}",NewYork
"['Tobacco Shops', 'Head Shops', 'Cigar Bars']",Smoke Shop N Cigars Vapeology101,5.0,28,"{'address1': '618 Metropolitan Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['618 Metropolitan Ave', 'Brooklyn, NY 11211']}","{'latitude': 40.71391, 'longitude': -73.94837}",NewYork
"['Cocktail Bars', 'Tacos', 'Wine Bars']",Jimbo Slims,5.0,39,"{'address1': '524 Graham Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['524 Graham Ave', 'Brooklyn, NY 11222']}","{'latitude': 40.7209450363619, 'longitude': -73.9465168238625}",NewYork
"['Sports Bars', 'Beer Bar', 'Pizza']",The Beer Garage,5.0,11,"{'address1': '118 Christopher St', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['118 Christopher St', 'New York, NY 10014']}","{'latitude': 40.733112, 'longitude': -74.0055}",NewYork
"['Wine Bars', 'Cafes']",Stafili Wine Cafe,5.0,49,"{'address1': '796 Greenwich St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['796 Greenwich St', 'New York, NY 10014']}","{'latitude': 40.73740497548472, 'longitude': -74.00658544800434}",NewYork
['Beer Bar'],Oh Craft! Beer,5.0,16,"{'address1': '1739 Amsterdam Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['1739 Amsterdam Ave', 'New York, NY 10031']}","{'latitude': 40.8260316077301, 'longitude': -73.9467960908323}",NewYork
"['American (New)', 'Bars', 'Venues & Event Spaces']",Betty,5.0,26,"{'address1': '193 Henry St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['193 Henry St', 'New York, NY 10002']}","{'latitude': 40.71367, 'longitude': -73.98785}",NewYork
['Pubs'],North Pole Pub,5.0,51,"{'address1': '428 Bergen St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['428 Bergen St', 'Brooklyn, NY 11217']}","{'latitude': 40.68154, 'longitude': -73.9774}",NewYork
['Cocktail Bars'],Little Ned,5.0,5,"{'address1': '1170 Bdwy', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['1170 Bdwy', 'New York, NY 10001']}","{'latitude': 40.74495353920114, 'longitude': -73.98846906116545}",NewYork
