city,name,rating,review_count,categories,categories_encoded
Denver,Raices Brewing Company,4.5,83,Breweries,96
Denver,New Terrain Brewing,4.5,370,Breweries,96
Denver,Holidaily Brewing,4.5,133,Breweries,96
Denver,Seedstock Brewery,4.5,82,Breweries,96
Denver,Seedstock Brewery,4.5,82,Beer Bar,67
Denver,Mockery Brewing,4.5,216,Breweries,96
Denver,Six Capital Brewing & BBQ,4.5,75,Barbeque,55
Denver,Six Capital Brewing & BBQ,4.5,75,Breweries,96
Denver,Iron Mule Brewery,4.5,43,Breweries,96
Denver,Iron Mule Brewery,4.5,43,Food Trucks,236
Denver,Rails End Beer Company,4.5,140,Breweries,96
Denver,Second Dawn Brewing,4.5,6,Breweries,96
Denver,Comet Brews,4.5,14,Beer Bar,67
Denver,Comet Brews,4.5,14,Brewpubs,98
Denver,Odell Brewing Co - Five Points Brewhouse,4.5,116,Breweries,96
Denver,Avery Brewing,4.5,1111,Breweries,96
Denver,Avery Brewing,4.5,1111,Barbeque,55
Denver,Avery Brewing,4.5,1111,American (Traditional),16
Denver,Cheluna Brewing Co.,4.5,140,Breweries,96
Denver,Cheluna Brewing Co.,4.5,140,Beer Bar,67
Denver,Congress Park Taproom,4.5,63,Pubs,469
Denver,Congress Park Taproom,4.5,63,Sports Bars,542
Denver,Congress Park Taproom,4.5,63,Brewpubs,98
Denver,Barrels & Bottles Brewery,4.5,202,Breweries,96
Denver,Beyond the Mountain Brewing,4.5,28,Breweries,96
Denver,New Image Brewing - Wheat Ridge,4.5,13,Breweries,96
Denver,New Image Brewing - Wheat Ridge,4.5,13,Beer Bar,67
Denver,Mestizo Brew Cantina,4.5,13,Breweries,96
Denver,Mestizo Brew Cantina,4.5,13,Latin American,339
Denver,Mestizo Brew Cantina,4.5,13,Tacos,562
Denver,Black Shirt Brewing,4.5,411,Breweries,96
Denver,Black Shirt Brewing,4.5,411,Pizza,444
Denver,Black Shirt Brewing,4.5,411,Music Venues,384
Denver,Wit's End Brewing Company,4.5,100,Breweries,96
Denver,Little Machine Beer,4.5,171,Breweries,96
Denver,Little Machine Beer,4.5,171,Beer Bar,67
Denver,Someplace Else Brewery,4.5,87,Arcades,24
Denver,Someplace Else Brewery,4.5,87,Breweries,96
Denver,Someplace Else Brewery,4.5,87,Beer Bar,67
