city,name,rating,review_count,categories,location,latitude,longitude
Denver,Scissors & Scotch,3.5,5,Barbers,"{'address1': '12227 Pine Bluffs Way', 'address2': 'Ste 109', 'address3': None, 'city': 'Parker', 'zip_code': '80134', 'country': 'US', 'state': 'CO', 'display_address': ['12227 Pine Bluffs Way', 'Ste 109', 'Parker, CO 80134']}",39.49434864282122,-104.75971116
Denver,Meskerem,3.5,17,Eritrean,"{'address1': '1121 S Peoria St', 'address2': '', 'address3': '', 'city': 'Aurora', 'zip_code': '80012', 'country': 'US', 'state': 'CO', 'display_address': ['1121 S Peoria St', 'Aurora, CO 80012']}",39.695915222168,-104.847564697266
Denver,Body Balance Strength & Wellness,5.0,6,Chiropractors,"{'address1': '4735 Walnut St E', 'address2': None, 'address3': '', 'city': 'Boulder', 'zip_code': '80301', 'country': 'US', 'state': 'CO', 'display_address': ['4735 Walnut St E', 'Boulder, CO 80301']}",40.0198647,-105.242018
Denver,Complete Health Chiropractic,5.0,6,Chiropractors,"{'address1': '791 Southpark Dr', 'address2': 'Ste 400', 'address3': '', 'city': 'Littleton', 'zip_code': '80120', 'country': 'US', 'state': 'CO', 'display_address': ['791 Southpark Dr', 'Ste 400', 'Littleton, CO 80120']}",39.56905,-104.99737
Denver,Nova Mente Academy,5.0,9,Chiropractors,"{'address1': '2761 West Oxford Ave', 'address2': 'Unit 7', 'address3': '', 'city': 'Englewood', 'zip_code': '80110', 'country': 'US', 'state': 'CO', 'display_address': ['2761 West Oxford Ave', 'Unit 7', 'Englewood, CO 80110']}",39.642556,-105.02286
Denver,Wei's Acupuncture,4.5,14,Traditional Chinese Medicine,"{'address1': '3615 S Tamarac Dr', 'address2': 'Ste 250', 'address3': '', 'city': 'Denver', 'zip_code': '80237', 'country': 'US', 'state': 'CO', 'display_address': ['3615 S Tamarac Dr', 'Ste 250', 'Denver, CO 80237']}",39.651209,-104.899137
Denver,Gentle Winds and Hands,5.0,3,Reflexology,"{'address1': '9150 W Jewell Ave', 'address2': 'Ste 118', 'address3': '', 'city': 'Lakewood', 'zip_code': '80232', 'country': 'US', 'state': 'CO', 'display_address': ['9150 W Jewell Ave', 'Ste 118', 'Lakewood, CO 80232']}",39.6820251,-105.0991947
Denver,Bare Medicine,5.0,3,Reflexology,"{'address1': '3456 Tejon St', 'address2': '', 'address3': 'The Freyja Project', 'city': 'Denver', 'zip_code': '80211', 'country': 'US', 'state': 'CO', 'display_address': ['3456 Tejon St', 'The Freyja Project', 'Denver, CO 80211']}",39.7654266,-105.0110474
Denver,Acupuncture & Chinese Herbs Integrative Clinic,5.0,3,Traditional Chinese Medicine,"{'address1': '6851 S Holly Cir', 'address2': 'Ste 180', 'address3': '', 'city': 'Centennial', 'zip_code': '80112', 'country': 'US', 'state': 'CO', 'display_address': ['6851 S Holly Cir', 'Ste 180', 'Centennial, CO 80112']}",39.5921821594238,-104.922187805176
Denver,MŪV Chiropractic & Yoga,5.0,2,Chiropractors,"{'address1': '4688 Broadway St', 'address2': '', 'address3': '', 'city': 'Boulder', 'zip_code': '80304', 'country': 'US', 'state': 'CO', 'display_address': ['4688 Broadway St', 'Boulder, CO 80304']}",40.059882217937684,-105.28179686661989
Denver,Chi Wellness,5.0,2,Traditional Chinese Medicine,"{'address1': '4155 E Jewell Ave', 'address2': 'Ste 105', 'address3': '', 'city': 'Denver', 'zip_code': '80222', 'country': 'US', 'state': 'CO', 'display_address': ['4155 E Jewell Ave', 'Ste 105', 'Denver, CO 80222']}",39.68348,-104.93852
Denver,Colorado Hsing-I Kung Fu,5.0,2,Traditional Chinese Medicine,"{'address1': '305 S Kipling St', 'address2': '', 'address3': ""Mueller's Martial Arts"", 'city': 'Lakewood', 'zip_code': '80226', 'country': 'US', 'state': 'CO', 'display_address': ['305 S Kipling St', ""Mueller's Martial Arts"", 'Lakewood, CO 80226']}",39.710439,-105.1105011
Denver,"Devyn Christian, DC CCSP CSCS",5.0,1,Chiropractors,"{'address1': '6850 W 116th Ave', 'address2': 'Ste A', 'address3': '', 'city': 'Broomfield', 'zip_code': '80020', 'country': 'US', 'state': 'CO', 'display_address': ['6850 W 116th Ave', 'Ste A', 'Broomfield, CO 80020']}",39.90727,-105.07228
Denver,Edgewater Civic Center,5.0,1,Civic Center,"{'address1': '1800 Harlan St', 'address2': '', 'address3': None, 'city': 'Lakewood', 'zip_code': '80214', 'country': 'US', 'state': 'CO', 'display_address': ['1800 Harlan St', 'Lakewood, CO 80214']}",39.74573,-105.06247
Denver,Wild Blue Acupuncture and Wellness,5.0,1,Traditional Chinese Medicine,"{'address1': '401 E Cleveland St', 'address2': 'Unit C', 'address3': '', 'city': 'Lafayette', 'zip_code': '80026', 'country': 'US', 'state': 'CO', 'display_address': ['401 E Cleveland St', 'Unit C', 'Lafayette, CO 80026']}",39.997543935495514,-105.0865672
Denver,Sacred Grove Healing,5.0,1,Traditional Chinese Medicine,"{'address1': '4045 Wadsworth Blvd', 'address2': 'Ste 100', 'address3': '', 'city': 'Denver', 'zip_code': '80033', 'country': 'US', 'state': 'CO', 'display_address': ['4045 Wadsworth Blvd', 'Ste 100', 'Denver, CO 80033']}",39.772455,-105.0820455
Denver,The Pikine Grill Food Truck,5.0,36,Senegalese,"{'address1': '16360 East Fremont Ave', 'address2': None, 'address3': '', 'city': 'Aurora', 'zip_code': '80022', 'country': 'US', 'state': 'CO', 'display_address': ['16360 East Fremont Ave', 'Aurora, CO 80022']}",39.5844558,-104.7966026
Denver,No Ke Aloha - Polynesian Cuisine,4.5,57,Polynesian,"{'address1': '854 S Buckley Rd', 'address2': '', 'address3': '', 'city': 'Aurora', 'zip_code': '80017', 'country': 'US', 'state': 'CO', 'display_address': ['854 S Buckley Rd', 'Aurora, CO 80017']}",39.701164981935364,-104.7901051
Denver,Moge Tee - Lakewood,4.5,15,Themed Cafes,"{'address1': '3140 S. Wadsworth', 'address2': 'Unit 115', 'address3': '', 'city': 'Lakewood', 'zip_code': '80227', 'country': 'US', 'state': 'CO', 'display_address': ['3140 S. Wadsworth', 'Unit 115', 'Lakewood, CO 80227']}",39.66171,-105.080988
Denver,HOJA,4.5,138,Themed Cafes,"{'address1': '1284 S Pearl St', 'address2': None, 'address3': None, 'city': 'Denver', 'zip_code': '80210', 'country': 'US', 'state': 'CO', 'display_address': ['1284 S Pearl St', 'Denver, CO 80210']}",39.6932103537227,-104.980080015957
Denver,Bean Fosters,4.5,162,Used Bookstore,"{'address1': '720 Golden Ridge Rd', 'address2': 'Ste D', 'address3': '', 'city': 'Golden', 'zip_code': '80401', 'country': 'US', 'state': 'CO', 'display_address': ['720 Golden Ridge Rd', 'Ste D', 'Golden, CO 80401']}",39.728378,-105.2087449
Denver,Ifka Cafe,4.5,13,Somali,"{'address1': '1535 S Havana St', 'address2': 'Ste M', 'address3': '', 'city': 'Aurora', 'zip_code': '80247', 'country': 'US', 'state': 'CO', 'display_address': ['1535 S Havana St', 'Ste M', 'Aurora, CO 80247']}",39.688246,-104.867536
Denver,Manila Bay Filipino Restaurant,4.5,100,Filipino,"{'address1': '13800 E Mississippi Ave', 'address2': '', 'address3': None, 'city': 'Aurora', 'zip_code': '80012', 'country': 'US', 'state': 'CO', 'display_address': ['13800 E Mississippi Ave', 'Aurora, CO 80012']}",39.69624,-104.82789
Denver,Tattered Cover - Colfax Avenue,4.5,266,Newspapers & Magazines,"{'address1': '2526 E Colfax Ave', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80206', 'country': 'US', 'state': 'CO', 'display_address': ['2526 E Colfax Ave', 'Denver, CO 80206']}",39.7398146000023,-104.956621317444
Denver,Adobo XO,4.5,18,Filipino,"{'address1': '3109 N Federal Blvd', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80211', 'country': 'US', 'state': 'CO', 'display_address': ['3109 N Federal Blvd', 'Denver, CO 80211']}",39.7610003249286,-105.025530287915
Denver,Woody's Wings N Things,4.5,320,Cambodian,"{'address1': '6817 Lowell Blvd', 'address2': '', 'address3': '', 'city': 'Westminster', 'zip_code': '80221', 'country': 'US', 'state': 'CO', 'display_address': ['6817 Lowell Blvd', 'Westminster, CO 80221']}",39.820522,-105.035119
Denver,Woody's Wings N Things,4.5,320,Laotian,"{'address1': '6817 Lowell Blvd', 'address2': '', 'address3': '', 'city': 'Westminster', 'zip_code': '80221', 'country': 'US', 'state': 'CO', 'display_address': ['6817 Lowell Blvd', 'Westminster, CO 80221']}",39.820522,-105.035119
Denver,Lea Marlene Actors Studio & The Namastage Theatre,5.0,5,Drama Schools,"{'address1': '119 Park Ave W', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80205', 'country': 'US', 'state': 'CO', 'display_address': ['119 Park Ave W', 'Denver, CO 80205']}",39.747921,-104.9784441
Denver,Tibet Gallery,5.0,6,Rugs,"{'address1': '1909 9th St', 'address2': 'Ste 120', 'address3': None, 'city': 'Boulder', 'zip_code': '80302', 'country': 'US', 'state': 'CO', 'display_address': ['1909 9th St', 'Ste 120', 'Boulder, CO 80302']}",40.01622,-105.28383
Denver,Old Map Gallery,5.0,13,Hobby Shops,"{'address1': '1550 Wynkoop St', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80202', 'country': 'US', 'state': 'CO', 'display_address': ['1550 Wynkoop St', 'Denver, CO 80202']}",39.7512204157917,-105.001662662508
