categories,name,rating,review_count,location,coordinates,city
"['Breweries', 'Beer Bar']",Woods Boss Brewing Company,4.5,177,"{'address1': '2210 California St', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80205', 'country': 'US', 'state': 'CO', 'display_address': ['2210 California St', 'Denver, CO 80205']}","{'latitude': 39.75094, 'longitude': -104.98454}",Denver
['Breweries'],105 West Brewing Company,4.5,164,"{'address1': '1043 Park St', 'address2': '', 'address3': '', 'city': 'Castle Rock', 'zip_code': '80109', 'country': 'US', 'state': 'CO', 'display_address': ['1043 Park St', 'Castle Rock, CO 80109']}","{'latitude': 39.380957, 'longitude': -104.867618}",Denver
"['Brewing Supplies', 'Breweries']",Altitude Brewing & Supply,4.5,16,"{'address1': '4577 N Pecos St', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80211', 'country': 'US', 'state': 'CO', 'display_address': ['4577 N Pecos St', 'Denver, CO 80211']}","{'latitude': 39.77966432185841, 'longitude': -105.006752}",Denver
['Breweries'],Goldspot Brewing,4.5,74,"{'address1': '4970 Lowell Blvd', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80221', 'country': 'US', 'state': 'CO', 'display_address': ['4970 Lowell Blvd', 'Denver, CO 80221']}","{'latitude': 39.786869, 'longitude': -105.034225}",Denver
['Breweries'],Dos Luces Brewery,4.5,69,"{'address1': '1236 S Broadway', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80210', 'country': 'US', 'state': 'CO', 'display_address': ['1236 S Broadway', 'Denver, CO 80210']}","{'latitude': 39.69404, 'longitude': -104.98706}",Denver
['Breweries'],Old 121 Brewhouse,4.5,21,"{'address1': '1057 S Wadsworth Blvd', 'address2': 'Ste 60', 'address3': '', 'city': 'Lakewood', 'zip_code': '80226', 'country': 'US', 'state': 'CO', 'display_address': ['1057 S Wadsworth Blvd', 'Ste 60', 'Lakewood, CO 80226']}","{'latitude': 39.698134, 'longitude': -105.082397}",Denver
['Breweries'],Something Brewery,4.5,91,"{'address1': '117 N Main St', 'address2': 'Unit A', 'address3': '', 'city': 'Brighton', 'zip_code': '80601', 'country': 'US', 'state': 'CO', 'display_address': ['117 N Main St', 'Unit A', 'Brighton, CO 80601']}","{'latitude': 39.9883409, 'longitude': -104.8214146}",Denver
"['Breweries', 'Beer Bar', 'Beer Gardens']",FlyteCo Brewing,4.5,98,"{'address1': '4499 W 38th Ave', 'address2': 'Ste 101', 'address3': None, 'city': 'Denver', 'zip_code': '80212', 'country': 'US', 'state': 'CO', 'display_address': ['4499 W 38th Ave', 'Ste 101', 'Denver, CO 80212']}","{'latitude': 39.7695249, 'longitude': -105.0449898}",Denver
['Breweries'],Spangalang Brewery,4.5,155,"{'address1': '2736 Welton Ave', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80205', 'country': 'US', 'state': 'CO', 'display_address': ['2736 Welton Ave', 'Denver, CO 80205']}","{'latitude': 39.755069732666, 'longitude': -104.977111816406}",Denver
['Breweries'],Raices Brewing Company,4.5,83,"{'address1': '2060 W Colfax Ave', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80204', 'country': 'US', 'state': 'CO', 'display_address': ['2060 W Colfax Ave', 'Denver, CO 80204']}","{'latitude': 39.73877839, 'longitude': -105.01733544}",Denver
['Breweries'],New Terrain Brewing,4.5,370,"{'address1': '16401 Table Mountain Pkwy', 'address2': '', 'address3': None, 'city': 'Golden', 'zip_code': '80403', 'country': 'US', 'state': 'CO', 'display_address': ['16401 Table Mountain Pkwy', 'Golden, CO 80403']}","{'latitude': 39.77961690935539, 'longitude': -105.18593189863294}",Denver
['Breweries'],Holidaily Brewing,4.5,133,"{'address1': '801 Brickyard Cir', 'address2': 'Unit B', 'address3': '', 'city': 'Golden', 'zip_code': '80403', 'country': 'US', 'state': 'CO', 'display_address': ['801 Brickyard Cir', 'Unit B', 'Golden, CO 80403']}","{'latitude': 39.78005, 'longitude': -105.2331}",Denver
"['Breweries', 'Beer Bar']",Seedstock Brewery,4.5,82,"{'address1': '3610 W Colfax Ave', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80204', 'country': 'US', 'state': 'CO', 'display_address': ['3610 W Colfax Ave', 'Denver, CO 80204']}","{'latitude': 39.7400817871094, 'longitude': -105.035110473633}",Denver
